MolFrac_1,T
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
1.0,303.15
0.0,298.15
0.1,298.15
0.2,298.15
0.3,298.15
0.4,298.15
0.5,298.15
0.6,298.15
0.7,298.15
0.8,298.15
0.9,298.15
1.0,298.15
0.0,298.15
0.1,298.15
0.2,298.15
0.3,298.15
0.4,298.15
0.5,298.15
0.6,298.15
0.7,298.15
0.8,298.15
0.9,298.15
1.0,298.15
0.0,298.15
0.1,298.15
0.2,298.15
0.3,298.15
0.4,298.15
0.5,298.15
0.6,298.15
0.7,298.15
0.8,298.15
0.9,298.15
1.0,298.15
0.0,298.15
0.1,298.15
0.2,298.15
0.3,298.15
0.4,298.15
0.5,298.15
0.6,298.15
0.7,298.15
0.8,298.15
0.9,298.15
1.0,298.15
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
0.0,293.15
0.1,293.15
0.2,293.15
0.3,293.15
0.4,293.15
0.5,293.15
0.6,293.15
0.7,293.15
0.8,293.15
0.9,293.15
1.0,293.15
0.0,303.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
1.0,303.15
0.0,303.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
1.0,303.15
0.0,303.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
1.0,303.15
0.0,303.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
1.0,303.15
1.0,298.0
1.0,298.0
0.0,303.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
1.0,303.15
0.0,300.65
0.1,300.65
0.2,300.65
0.3,300.65
0.4,300.65
0.5,300.65
0.6,300.65
0.7,300.65
0.8,300.65
0.9,300.65
1.0,300.65
0.12,303.15
0.21,295.65
0.22,303.15
0.31,295.65
0.32,303.15
0.41,295.65
0.42,303.15
0.51,295.65
0.52,303.15
0.61,295.65
0.62,303.15
0.71,295.65
0.72,303.15
0.81,295.65
0.82,303.15
0.91,295.65
0.0,300.65
0.1,300.65
0.2,300.65
0.3,300.65
0.4,300.65
0.5,300.65
0.6,300.65
0.7,300.65
0.8,300.65
0.9,300.65
1.0,300.65
0.12,303.15
0.21,295.65
0.22,303.15
0.31,295.65
0.32,303.15
0.41,295.65
0.42,303.15
0.51,295.65
0.52,303.15
0.61,295.65
0.62,303.15
0.71,295.65
0.72,303.15
0.81,295.65
0.82,303.15
0.0,303.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
1.0,303.15
0.0,303.15
0.09,311.9
0.1,303.15
0.19,311.9
0.2,303.15
0.29,311.9
0.3,303.15
0.39,311.9
0.4,303.15
0.49,311.9
0.5,303.15
0.59,311.9
0.6,303.15
0.69,311.9
0.7,303.15
0.79,311.9
0.8,303.15
0.89,311.9
0.9,303.15
0.99,311.9
1.0,303.15
0.0,315.65
0.1,315.65
0.2,315.65
0.3,315.65
0.4,315.65
0.5,315.65
0.6,315.65
0.7,315.65
0.8,315.65
0.9,315.65
1.0,315.65
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
0.0,298.15
0.1,298.15
0.2,298.15
0.3,298.15
0.4,298.15
0.5,298.15
0.6,298.15
0.7,298.15
0.8,298.15
0.9,298.15
1.0,298.15
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
0.0843,298.2
1.0,298.0
1.0,298.0
1.0,298.0
0.0,306.15
0.1,306.15
0.2,306.15
0.3,306.15
0.4,306.15
0.5,306.15
0.6,306.15
0.7,306.15
0.8,306.15
0.9,306.15
1.0,306.15
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
0.0,303.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
1.0,303.15
0.0,303.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
1.0,303.15
0.0,303.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
1.0,303.15
0.0,303.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
1.0,303.15
1.0,298.0
1.0,298.0
1.0,298.0
0.0,303.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
1.0,303.15
0.0,305.65000000000003
0.1,305.65000000000003
0.2,305.65000000000003
0.3,305.65000000000003
0.4,305.65000000000003
0.5,305.65000000000003
0.6,305.65000000000003
0.7,305.65000000000003
0.8,305.65000000000003
0.9,305.65000000000003
1.0,305.65000000000003
0.0,303.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
1.0,303.15
0.0,303.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
1.0,303.15
0.0,305.65000000000003
0.1,305.65000000000003
0.2,305.65000000000003
0.3,305.65000000000003
0.4,305.65000000000003
0.5,305.65000000000003
0.6,305.65000000000003
0.7,305.65000000000003
0.8,305.65000000000003
0.9,305.65000000000003
1.0,305.65000000000003
0.0,305.65000000000003
0.1,305.65000000000003
0.2,305.65000000000003
0.3,305.65000000000003
0.4,305.65000000000003
0.5,305.65000000000003
0.6,305.65000000000003
0.7,305.65000000000003
0.8,305.65000000000003
0.9,305.65000000000003
1.0,305.65000000000003
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
0.0,305.65000000000003
0.1,305.65000000000003
0.2,305.65000000000003
0.3,305.65000000000003
0.4,305.65000000000003
0.5,305.65000000000003
0.6,305.65000000000003
0.7,305.65000000000003
0.8,305.65000000000003
0.9,305.65000000000003
1.0,305.65000000000003
0.0,305.65000000000003
0.1,305.65000000000003
0.2,305.65000000000003
0.3,305.65000000000003
0.4,305.65000000000003
0.5,305.65000000000003
0.6,305.65000000000003
0.7,305.65000000000003
0.8,305.65000000000003
0.9,305.65000000000003
1.0,305.65000000000003
0.0,308.15000000000003
0.1,308.15000000000003
0.2,308.15000000000003
0.3,308.15000000000003
0.4,308.15000000000003
0.5,308.15000000000003
0.6,308.15000000000003
0.7,308.15000000000003
0.8,308.15000000000003
0.9,308.15000000000003
1.0,308.15000000000003
0.07,318.15
0.17,318.15
0.27,318.15
0.37,318.15
0.47,318.15
0.57,318.15
0.67,318.15
0.77,318.15
0.87,318.15
0.22,318.15
0.32,318.15
0.42,318.15
0.52,318.15
0.62,318.15
0.72,318.15
0.82,318.15
0.92,318.15
0.17,318.15
0.27,318.15
0.37,318.15
0.47,318.15
0.57,318.15
0.67,318.15
0.77,318.15
0.87,318.15
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
0.0,313.15
0.1,313.15
0.2,313.15
0.3,313.15
0.4,313.15
0.5,313.15
0.6,313.15
0.7,313.15
0.8,313.15
0.9,313.15
1.0,313.15
0.2,313.15
0.3,313.15
0.4,313.15
0.5,313.15
0.6,313.15
0.7,313.15
0.8,313.15
0.9,313.15
0.0,318.0
0.1,318.0
0.2,318.0
0.3,318.0
0.4,318.0
0.5,318.0
0.6,318.0
0.7,318.0
0.8,318.0
0.9,318.0
1.0,318.0
0.1,313.15
0.2,313.15
0.3,313.15
0.4,313.15
0.5,313.15
0.6,313.15
0.7,313.15
0.8,313.15
0.9,313.15
0.0,323.15
0.1,323.15
0.2,323.15
0.3,323.15
0.4,323.15
0.5,323.15
0.6,323.15
0.7,323.15
0.8,323.15
0.9,323.15
1.0,323.15
0.0,323.15
0.1,323.15
0.2,323.15
0.3,323.15
0.4,323.15
0.5,323.15
0.6,323.15
0.7,323.15
0.8,323.15
0.9,323.15
1.0,323.15
0.0,323.15
0.1,323.15
0.2,323.15
0.3,323.15
0.4,323.15
0.5,323.15
0.6,323.15
0.7,323.15
0.8,323.15
0.0,318.15
0.1,318.15
0.2,318.15
0.3,318.15
0.4,318.15
0.5,318.15
0.6,318.15
0.7,318.15
0.8,318.15
0.9,318.15
1.0,318.15
0.0,318.15
0.1,318.15
0.2,318.15
0.3,318.15
0.4,318.15
0.5,318.15
0.6,318.15
0.7,318.15
0.8,318.15
0.9,318.15
1.0,318.15
0.0,318.15
0.1,318.15
0.2,318.15
0.3,318.15
0.4,318.15
0.5,318.15
0.6,318.15
0.7,318.15
0.8,318.15
0.9,318.15
1.0,318.15
0.0,318.15
0.1,318.15
0.2,318.15
0.3,318.15
0.4,318.15
0.5,318.15
0.6,318.15
0.7,318.15
0.8,318.15
0.9,318.15
1.0,318.15
0.0,318.15
0.1,318.15
0.2,318.15
0.3,318.15
0.4,318.15
0.5,318.15
0.6,318.15
0.7,318.15
0.8,318.15
0.9,318.15
1.0,318.15
0.0,318.15
0.1,318.15
0.2,318.15
0.3,318.15
0.4,318.15
0.5,318.15
0.6,318.15
0.7,318.15
0.8,318.15
0.9,318.15
1.0,318.15
0.0,313.15
0.1,313.15
0.2,313.15
0.3,313.15
0.4,313.15
0.5,313.15
0.6,313.15
0.7,313.15
0.8,313.15
0.9,313.15
1.0,313.15
0.0,318.15
0.1,318.15
0.2,318.15
0.3,318.15
0.4,318.15
0.5,318.15
0.6,318.15
0.7,318.15
0.8,318.15
0.9,318.15
1.0,318.15
0.05,318.15
0.15,318.15
0.25,318.15
0.35,318.15
0.45,318.15
0.55,318.15
0.65,318.15
0.75,318.15
0.85,318.15
0.95,318.15
0.0,318.15
0.1,316.25
0.2,316.25
0.3,316.25
0.4,316.25
0.5,315.8
0.6,315.9
0.7,318.15
0.8,317.95
0.9,318.15
1.0,318.15
0.1,313.15
0.2,313.15
0.3,313.15
0.4,313.15
0.5,313.15
0.6,313.15
0.7,313.15
0.8,313.15
0.9,313.15
0.0,313.15
0.1,312.81666666666666
0.2,313.21666666666664
0.3,315.21
0.4,315.575
0.5,315.34999999999997
0.6,315.34999999999997
0.7,317.82500000000005
0.8,315.25
0.9,318.0
1.0,313.15
0.0,323.15
0.1,323.15
0.0,317.85
0.1,315.74999999999994
0.2,316.48333333333335
0.3,316.31666666666666
0.4,316.1166666666666
0.5,312.7
0.6,316.71
0.7,314.75
0.8,312.75
0.85,318.5
0.9,312.75
1.0,312.75
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
0.0,313.15
0.1,313.15
0.2,313.15
0.3,313.15
0.4,313.15
0.5,313.15
0.6,313.15
0.7,313.15
0.8,313.15
0.9,313.15
1.0,313.15
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
1.0,298.0
0.11,305.65
0.21,305.65
0.31,305.65
0.41,305.65
0.0,305.65000000000003
0.1,305.65000000000003
0.2,305.65000000000003
0.3,305.65000000000003
0.4,305.65000000000003
0.5,305.65000000000003
0.6,305.65000000000003
0.7,305.65000000000003
0.8,305.65000000000003
0.9,305.65000000000003
1.0,305.65000000000003
0.0,305.65000000000003
0.1,305.65000000000003
0.2,305.65000000000003
0.3,305.65000000000003
0.4,305.65000000000003
0.5,305.65000000000003
0.6,305.65000000000003
0.7,305.65000000000003
0.8,305.65000000000003
0.9,305.65000000000003
1.0,305.65000000000003
0.0,305.65000000000003
0.1,305.65000000000003
0.2,305.65000000000003
0.3,305.65000000000003
0.4,305.65000000000003
0.5,305.65000000000003
0.6,305.65000000000003
0.7,305.65000000000003
0.8,305.65000000000003
0.9,305.65000000000003
1.0,305.65000000000003
0.0,305.65000000000003
0.1,305.65000000000003
0.2,305.65000000000003
0.3,305.65000000000003
0.4,305.65000000000003
0.5,305.65000000000003
0.6,305.65000000000003
0.7,305.65000000000003
0.8,305.65000000000003
0.9,305.65000000000003
1.0,305.65000000000003
0.06,305.65
0.16,305.65
0.26,305.65
0.36,305.65
0.46,305.65
0.56,305.65
0.66,305.65
0.76,305.65
0.86,305.65
0.96,305.65
0.0,303.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
1.0,303.15
0.15,305.65
0.25,305.65
0.35,305.65
0.45,305.65
0.55,305.65
0.65,305.65
0.75,305.65
0.85,305.65
0.95,305.65
0.0,305.575
0.1,305.575
0.2,305.575
0.3,305.575
0.4,305.575
0.5,304.09
0.6,305.575
0.7,305.575
0.8,305.575
0.9,305.575
1.0,305.575
0.0,303.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
1.0,303.15
0.21,303.15
0.31,303.15
0.41,303.15
0.51,303.15
0.61,303.15
0.71,303.15
0.81,303.15
0.0,318.15
0.1,318.15
0.2,318.15
0.3,318.15
0.4,318.15
0.5,318.15
0.6,318.15
0.7,318.15
0.8,318.15
0.9,318.15
1.0,318.15
0.0,298.15
0.1,298.15
0.2,298.15
0.3,298.15
0.4,298.15
0.5,298.15
0.6,298.15
0.7,298.15
0.8,298.15
0.9,298.15
1.0,298.15
0.16,305.65
0.26,305.65
0.36,305.65
0.46,305.65
0.5,298.15
0.56,305.65
0.66,305.65
0.76,305.65
0.86,305.65
0.0,298.15
0.1,298.15
0.2,298.15
0.3,298.15
0.4,298.15
0.5,298.15
0.6,298.15
0.7,298.15
0.8,298.15
0.9,298.15
1.0,298.15
0.0,295.65
0.1,295.65
0.2,295.65
0.3,295.65
0.4,295.65
0.5,295.65
0.6,295.65
0.7,295.65
0.8,295.65
0.9,295.65
1.0,295.65
0.0,295.65
0.1,298.15
0.2,298.15
0.3,298.15
0.4,298.15
0.5,298.15
0.6,298.15
0.7,298.15
0.8,298.15
0.9,298.15
1.0,298.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
0.15,303.15
0.25,303.15
0.35,303.15
0.45,303.15
0.55,303.15
0.65,303.15
0.75,303.15
0.85,303.15
0.15,303.15
0.25,303.15
0.35,303.15
0.45,303.15
0.55,303.15
0.65,303.15
0.75,303.15
0.85,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
0.15,303.15
0.25,303.15
0.35,303.15
0.45,303.15
0.55,303.15
0.65,303.15
0.75,303.15
0.85,303.15
0.11,303.15
0.21,303.15
0.31,303.15
0.41,303.15
0.51,303.15
0.61,303.15
0.71,303.15
0.81,303.15
0.0,308.15000000000003
0.1,308.15000000000003
0.2,308.15000000000003
0.3,308.15000000000003
0.4,308.15000000000003
0.5,306.90000000000003
0.6,308.15000000000003
0.7,308.15000000000003
0.8,308.15000000000003
0.9,308.15000000000003
1.0,308.15000000000003
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.0,303.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
1.0,303.15
0.0,308.0
0.1,308.0
0.2,308.0
0.3,308.0
0.4,308.0
0.5,303.075
0.6,308.0
0.7,308.0
0.8,308.0
0.9,308.0
1.0,308.0
0.4,298.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
0.0,304.6666666666667
0.1,304.6666666666667
0.2,304.6666666666667
0.3,302.06000000000006
0.3076,298.15
0.4,303.0375
0.5,304.6666666666667
0.6,304.6666666666667
0.7,304.6666666666667
0.8,304.6666666666667
0.9,304.6666666666667
1.0,304.6666666666667
0.0,308.15
0.1,308.15
0.11,303.15
0.2,308.15
0.21,303.15
0.3,308.15
0.31,303.15
0.4,308.15
0.41,303.15
0.5,308.15
0.51,303.15
0.6,308.15
0.61,303.15
0.7,308.15
0.71,303.15
0.8,308.15
0.81,303.15
0.9,308.15
1.0,308.15
0.0,308.15
0.1,306.9
0.2,306.9
0.3,306.9
0.4,306.9
0.5,306.9
0.6,306.9
0.7,306.9
0.8,306.9
0.9,306.9
1.0,308.15
0.0,308.15
0.1,308.15
0.2,308.15
0.3,308.15
0.4,308.15
0.5,308.15
0.6,308.15
0.7,308.15
0.8,308.15
0.9,308.15
1.0,308.15
0.11,303.15
0.21,303.15
0.31,303.15
0.41,303.15
0.51,303.15
0.61,303.15
0.71,303.15
0.81,303.15
0.0,303.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
1.0,303.15
0.0,303.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
1.0,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.2,305.65
0.3,305.65
0.4,305.65
0.5,305.65
0.6,305.65
0.7,305.65
0.8,305.65
0.9,305.65
0.0,303.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
1.0,303.15
0.0,303.15
0.1,303.15
0.2,303.15
0.3,303.15
0.4,303.15
0.5,303.15
0.6,303.15
0.7,303.15
0.8,303.15
0.9,303.15
1.0,303.15
0.0,308.15
0.03,298.0
0.1,310.65000000000003
0.13,298.0
0.2,310.65000000000003
0.23,298.0
0.3,310.65000000000003
0.33,298.0
0.4,310.65000000000003
0.5,310.65000000000003
0.6,310.65000000000003
0.7,310.65000000000003
0.8,310.65000000000003
0.9,310.65000000000003
1.0,310.65000000000003
0.0,308.15000000000003
0.1,308.15000000000003
0.2,308.15000000000003
0.3,308.15000000000003
0.4,308.15000000000003
0.5,308.15000000000003
0.6,308.15000000000003
0.7,308.15000000000003
0.8,308.15000000000003
0.9,308.15000000000003
1.0,308.15000000000003
0.2,305.65
0.3,305.65
0.4,305.65
0.5,305.65
0.6,305.65
0.7,305.65
0.8,305.65
0.9,305.65
0.0,308.15
0.1,306.9
0.2,306.9
0.3,306.9
0.4,306.9
0.5,306.9
0.6,306.9
0.7,306.9
0.8,306.9
0.9,306.9
1.0,308.15
0.1,313.15
0.2,313.15
0.3,313.15
0.4,313.15
0.5,313.15
0.0,313.15
0.1,313.15
0.2,313.15
0.3,313.15
0.4,313.15
0.5,313.15
0.6,313.15
0.7,313.15
0.8,313.15
0.9,313.15
1.0,313.15
0.05,313.15
0.15,313.15
0.25,313.15
0.35,313.15
0.45,313.15
0.55,313.15
0.65,313.15
0.75,313.15
0.85,313.15
0.2,313.15
0.3,313.15
0.4,313.15
0.5,313.15
0.6,313.15
0.7,313.15
0.8,313.15
0.9,313.15
0.15,313.15
0.25,313.15
0.35,313.15
0.45,313.15
0.55,313.15
0.65,313.15
0.75,313.15
0.85,313.15
0.12,308.15
0.22,308.15
0.32,308.15
0.42,308.15
0.52,308.15
0.62,308.15
0.72,308.15
0.82,308.15
0.92,308.15
0.0,308.15000000000003
0.1,308.15000000000003
0.2,308.15000000000003
0.3,308.15000000000003
0.4,308.15000000000003
0.5,308.15000000000003
0.6,308.15000000000003
0.7,308.15000000000003
0.8,308.15000000000003
0.9,308.15000000000003
1.0,308.15000000000003
0.0,298.15
0.1,298.15
0.2,298.15
0.3,298.15
0.39,310.65
0.4,303.15
0.403,308.15
0.4106,308.15
0.5,307.7333333333334
0.6,298.15
0.7,298.15
0.8,298.15
0.9,298.15
1.0,298.15
0.0,308.15
0.1,308.15
0.2,308.15
0.3,308.15
0.4,308.15
0.5,308.15
0.6,308.15
0.7,308.15
0.8,308.15
0.9,308.15
1.0,308.15
0.0,308.15000000000003
0.1,308.15000000000003
0.2,308.15000000000003
0.3,308.15000000000003
0.4,308.15000000000003
